Datetime,Open,High,Low,Close,Volume
2022-08-21 16:00:00+00:00,21422.251953125,21422.251953125,21422.251953125,21422.251953125,0
2022-08-21 16:01:00+00:00,21426.8984375,21426.8984375,21426.8984375,21426.8984375,0
2022-08-21 16:02:00+00:00,21430.98046875,21430.98046875,21430.98046875,21430.98046875,0
2022-08-21 16:03:00+00:00,21435.03125,21435.03125,21435.03125,21435.03125,0
2022-08-21 16:04:00+00:00,21435.1171875,21435.1171875,21435.1171875,21435.1171875,0
2022-08-21 16:05:00+00:00,21435.529296875,21435.529296875,21435.529296875,21435.529296875,5937152
2022-08-21 16:06:00+00:00,21435.697265625,21435.697265625,21435.697265625,21435.697265625,0
2022-08-21 16:07:00+00:00,21437.001953125,21437.001953125,21437.001953125,21437.001953125,0
2022-08-21 16:08:00+00:00,21439.3125,21439.3125,21439.3125,21439.3125,0
2022-08-21 16:09:00+00:00,21443.11328125,21443.11328125,21443.11328125,21443.11328125,1124352
2022-08-21 16:10:00+00:00,21452.806640625,21452.806640625,21452.806640625,21452.806640625,0
2022-08-21 16:11:00+00:00,21451.376953125,21451.376953125,21451.376953125,21451.376953125,0
2022-08-21 16:12:00+00:00,21448.07421875,21448.07421875,21448.07421875,21448.07421875,0
2022-08-21 16:13:00+00:00,21433.5859375,21433.5859375,21433.5859375,21433.5859375,1419264
2022-08-21 16:14:00+00:00,21424.6640625,21424.6640625,21424.6640625,21424.6640625,0
2022-08-21 16:15:00+00:00,21414.404296875,21414.404296875,21414.404296875,21414.404296875,2357248
2022-08-21 16:16:00+00:00,21378.55859375,21378.55859375,21378.55859375,21378.55859375,9947136
2022-08-21 16:17:00+00:00,21381.029296875,21381.029296875,21381.029296875,21381.029296875,0
2022-08-21 16:18:00+00:00,21382.359375,21382.359375,21382.359375,21382.359375,3504128
2022-08-21 16:19:00+00:00,21387.548828125,21387.548828125,21387.548828125,21387.548828125,0
2022-08-21 16:20:00+00:00,21385.251953125,21385.251953125,21385.251953125,21385.251953125,1312768
2022-08-21 16:21:00+00:00,21384.33984375,21384.33984375,21384.33984375,21384.33984375,0
2022-08-21 16:22:00+00:00,21377.986328125,21377.986328125,21377.986328125,21377.986328125,3371008
2022-08-21 16:23:00+00:00,21379.404296875,21379.404296875,21379.404296875,21379.404296875,0
2022-08-21 16:24:00+00:00,21370.61328125,21370.61328125,21370.61328125,21370.61328125,0
2022-08-21 16:25:00+00:00,21357.73828125,21357.73828125,21357.73828125,21357.73828125,1738752
2022-08-21 16:26:00+00:00,21357.42578125,21357.42578125,21357.42578125,21357.42578125,3426304
2022-08-21 16:27:00+00:00,21363.947265625,21363.947265625,21363.947265625,21363.947265625,2226176
2022-08-21 16:28:00+00:00,21369.23046875,21369.23046875,21369.23046875,21369.23046875,3371008
2022-08-21 16:29:00+00:00,21370.734375,21370.734375,21370.734375,21370.734375,0
2022-08-21 16:30:00+00:00,21370.958984375,21370.958984375,21370.958984375,21370.958984375,0
2022-08-21 16:31:00+00:00,21376.662109375,21376.662109375,21376.662109375,21376.662109375,0
2022-08-21 16:32:00+00:00,21381.77734375,21381.77734375,21381.77734375,21381.77734375,2641920
